node_id,similar_node_id,neighbor_rank,feature_distance,feature_similarity,shared_complete_business_count,median_cost_smape_on_shared_business,median_revenue_smape_on_shared_business
ant272c3c6200e703529ac4c23ed1c00,ant25640168044e33289a557c67d3900,5,0.0722646713256836,0.9277353286743164,1,0.5253863134657837,0.5485436893203882
ant2385c95535c5a3417bf78a8183503,ant2de7a45d13b3638baa2257d64000a,6,0.07226473093032837,0.9277352690696716,1,0.8725314183123877,0.475
ant2bad9bc3b7dd338918de28ff5ad07,ant2d5f371bad3783ec9a8fb2b478507,2,0.07226473093032837,0.9277352690696716,0,,
ant208615a983ec13d07874d29ef9c09,ant2fa7a2e17216d32a7985511765205,9,0.07226479053497314,0.9277352094650269,0,,
ant2b62e1505f0343dea825e547fec00,ant2d87d69fbe3da394b83a04a3f3209,4,0.07226479053497314,0.9277352094650269,0,,
ant201ac832684d33f2bafa776a4b006,ant2c36356a461c53d839a6e61567606,1,0.0722649097442627,0.9277350902557373,2,1.2737892038507135,0.9837368549767669
ant2a6fde922758535b3a3acdbec7404,ant2da450183406a305f8e74feee1606,1,0.07226502895355225,0.9277349710464478,2,0.12500000000000008,0.2943592552026286
ant23538564cad613e9eae93e20ea308,ant227154035a713389fa6d1b4755906,4,0.0722651481628418,0.9277348518371582,0,,
ant2781fbfe847fb316681d14d8f2907,ant2b39fc7115dfb3063becb730a2c0b,5,0.07226550579071045,0.9277344942092896,0,,
ant255287d3001f834ae86d474b43508,ant28674c7399f1033298f4ecb7fee05,6,0.07226574420928955,0.9277342557907104,1,0.2134570765661252,0.3027940220922678
ant240c4cfb411db32858037615f7902,ant293c30065fdf53f038aa211a3cb0c,10,0.07226580381393433,0.9277341961860657,1,1.4042553191489362,2.0
ant27c917da3dccf3976b8342d48a207,ant295eb27e580df3244bc1eb427e506,6,0.07226580381393433,0.9277341961860657,1,0.8387096774193549,2.0
ant2e631bc7493bd3eeebb71bd34cd09,ant2cc70ee71e14f39ca8b9dc6507505,5,0.0722658634185791,0.9277341365814209,1,1.0516934046345812,1.04
ant2f0ae4dca59ac3763915adf2cde01,ant2beb1af6700ec3dc4ae4031597109,3,0.07226598262786865,0.9277340173721313,1,1.7006802721088432,1.7500000000000002
ant2ef64b53ba21a32878703bab91901,ant20e320d6bcc713812904fdc21bb00,8,0.0722663402557373,0.9277336597442627,0,,
ant22964d1df870d32789760c89d6306,ant28feb41f2d0f13ec8ae51ec5cc500,1,0.07226669788360596,0.927733302116394,1,1.5286624203821657,1.7325664989216392
ant2ef64b53ba21a32878703bab91901,ant2421f3af1de023734b7560bb39b0b,9,0.07226681709289551,0.9277331829071045,1,1.9259259259259258,1.5172413793103448
ant2c35f8034a0fc3d768ac5ec43ad03,ant28fdbffd2fb2b3d95b0ff082cf90a,9,0.07226693630218506,0.9277330636978149,0,,
ant258559d5e753d394191fb27feaf09,ant27527cb8cb36e31729851b449530b,4,0.07226711511611938,0.9277328848838806,0,,
ant2c501cccf3cc1315891c9bd706102,ant26bab70f99efd3ad691cc8aa5c104,1,0.07226747274398804,0.927732527256012,1,1.7931034482758619,1.9699248120300752
ant2f3f34b6644753b1aa1b423174501,ant236c80f38de863bdfab12dba8f107,3,0.07226788997650146,0.9277321100234985,0,,
ant24922cf5a2c4f33378b8e5a7b9604,ant2f451e91ded6f3cb0a9f286da390a,7,0.07226836681365967,0.9277316331863403,0,,
ant2f0b93c6bd51b33d8a40a4884a701,ant268de7609e56c3b55af131ad9da09,7,0.07226836681365967,0.9277316331863403,0,,
ant2171a586345033fbf94aa49603606,ant2c501cccf3cc1315891c9bd706102,7,0.07226848602294922,0.9277315139770508,1,0.22222222222222227,2.0
ant20850f1f01de63604a61c2eecef0a,ant2ac85ab852dc636a59b5469ebb00a,4,0.07226860523223877,0.9277313947677612,1,0.014184397163120581,0.021818181818181678
ant22a80785003b6313cae310db50a09,ant240da0396479937fe9030e97c350b,2,0.07226872444152832,0.9277312755584717,1,0.7727272727272726,0.8741355463347165
ant2d38e5c17810d30e3a76e69222c02,ant2a4a019b1f7cf368ca943210b0a0b,10,0.07226872444152832,0.9277312755584717,0,,
ant235de94618c1d3203811d05f28502,ant248f10d56f3e530f58a2df4861202,8,0.0722687840461731,0.9277312159538269,1,1.3170731707317072,0.0
ant229013042013f33b49abc103b0408,ant207a2291578bb3ce991782234ca03,10,0.0722692608833313,0.9277307391166687,0,,
ant20d1637a93fe13a54ae1977032a08,ant21b7ff3f01ab038f6aece0062370c,3,0.0722694993019104,0.9277305006980896,2,0.9625819519215394,0.9257262785816855
